City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,lon,lat,QV2M,T2M,U10M,V10M,PS (Pa),PBLTOP (Pa),PBLH (m),WindSpeed,Temp_Diff,DayOfWeek,Month,IsWeekend,Month_sin,Month_cos,Day_sin,Day_cos,RelativeHumidity,IsHoliday,Wind_Direction,Season,Festival,LST_Day_1km,Optical_Depth_047,dewpoint_temperature_2m,temperature_2m,Month_cat,DayOfWeek_cat
Delhi,01-01-2020,437,240.35,471.96,362.71,498.18,4.59,415.15,76.875,28.5,0.005724751,277.75284,0.33622068,-2.3425899,99498.16,86512.33,1254.02,2.366594977,28.58716,2,1,0,0.5,0.866025404,0.20129852,0.979529941,57.247514,0,278.1676101,Winter,0,,,,,Jan,Wed
Delhi,02-01-2020,232,127.6,250.56,192.56,264.48,2.44,220.4,76.875,28.5,0.005724751,277.75284,0.33622068,-2.3425899,101802.86,81065.93,1957.71,2.366594977,15.87716,3,1,0,0.5,0.866025404,0.394355855,0.918957812,57.247514,0,278.1676101,Winter,0,17.58282385,888.6558442,279.6686349,281.0508562,Jan,Thu
Delhi,03-01-2020,90,49.5,97.2,74.7,102.6,0.95,85.5,76.875,28.5,0.005724751,277.75284,0.33622068,-2.3425899,100927.98,86578.45,1335.08,2.366594977,19.66716,4,1,0,0.5,0.866025404,0.571268215,0.820763441,57.247514,0,278.1676101,Winter,0,24.11515017,680.6888389,287.8366798,288.1674495,Jan,Fri
Delhi,04-01-2020,73,40.15,78.84,60.59,83.22,0.77,69.35,76.875,28.5,0.005724751,277.75284,0.33622068,-2.3425899,100394.63,89994.14,986.09,2.366594977,30.28716,5,1,1,0.5,0.866025404,0.724792787,0.688966919,57.247514,0,278.1676101,Winter,0,31.78612206,462.427358,286.6448827,291.8337276,Jan,Sat
Delhi,05-01-2020,146,80.3,157.68,121.18,166.44,1.53,138.7,76.875,28.5,0.005724751,277.75284,0.33622068,-2.3425899,98624.07,80482.12,1821.56,2.366594977,28.37716,6,1,1,0.5,0.866025404,0.848644257,0.52896401,57.247514,0,278.1676101,Winter,0,43.21191524,490.8945437,293.1573117,294.2418507,Jan,Sun
Delhi,06-01-2020,104,57.2,112.32,86.32,118.56,1.09,98.8,76.875,28.5,0.005724751,277.75284,0.33622068,-2.3425899,98623.98,89771.74,852.52,2.366594977,31.94716,0,1,0,0.5,0.866025404,0.937752132,0.347305253,57.247514,0,278.1676101,Winter,0,37.99437896,885.2055562,294.3832148,295.2101771,Jan,Mon
Delhi,07-01-2020,117,64.35,126.36,97.11,133.38,1.23,111.15,76.875,28.5,0.005724751,277.75284,0.33622068,-2.3425899,98232.33,84069.08,1390.39,2.366594977,27.32716,1,1,0,0.5,0.866025404,0.988468324,0.151427778,57.247514,0,278.1676101,Winter,0,36.74300396,1643.477755,297.3325737,301.3074265,Jan,Tue
Delhi,08-01-2020,81,44.55,87.48,67.23,92.34,0.85,76.95,76.875,28.5,0.005724751,277.75284,0.33622068,-2.3425899,101464.7,88707.53,1171.51,2.366594977,20.10716,2,1,0,0.5,0.866025404,0.998716507,-0.050649169,57.247514,0,278.1676101,Winter,0,30.62068741,1647.784067,298.5743556,299.2366268,Jan,Wed
Delhi,09-01-2020,53,29.15,57.24,43.99,60.42,0.56,50.35,76.875,28.5,0.005724751,277.75284,0.33622068,-2.3425899,100404.46,87823.85,1182.68,2.366594977,24.05716,3,1,0,0.5,0.866025404,0.968077119,-0.250652532,57.247514,0,278.1676101,Winter,0,29.68312174,554.4821587,296.076714,298.3933983,Jan,Thu
Delhi,10-01-2020,152,83.6,164.16,126.16,173.28,1.6,144.4,76.875,28.5,0.005724751,277.75284,0.33622068,-2.3425899,100832.29,85670.16,1446.31,2.366594977,25.46716,4,1,0,0.5,0.866025404,0.89780454,-0.440394152,57.247514,0,278.1676101,Winter,0,37.2852259,458.3035552,287.4476637,294.3995901,Jan,Fri
